Title,Authors,Original_Filename,Publication_Date,Category,Description,Is_Paywalled,Is_Downloaded,Source_URL,DOI,_Source
Implementation Analysis of Binaural Audio Crosstalk Cancellation on Heterogeneous Parallel Computing platforms using Mixed Non-Uniform Partitioned Convolution,"Chunduri Sreenivasa Rao, Dhulipalla Venkata Rao, Somayajula Lakshminarayana",Article6.pdf,2015/01/01,Unsorted,"As general DSP processors don’t have massive parallel architecture, they are not suitable to implement 3D audio virtual techniques at very long filters due to computational problems. To address these implementation issues of very long filters, an efficient method called Mixed Non-uniform Partitioned Convolution is proposed in this paper for implementing binaural audio crosstalk cancellation on heterogeneous parallel computing platforms. By using massive parallel architecture of heterogeneous platforms, the proposed approach is able to solve computational problems even at filter lengths of 65536 (32-bit floating point). The partitioning scheme followed in this paper is explained in detail to schedule partitions on various compute units of GPU device. The proposed approach was implemented on AMD GPUs using task parallel concept. The instruction level optimization was also provided for complex frequency multiplication and addition using OpenCL. The performance of this approach is compared against the existing techniques proposed by Garcia and Gardener. The cost vs. computational performance tradeoff comparison was given between proposed approach and existing methods. The comparison clearly shows that proposed approach is very efficient at very long filters and requires reasonable cost of implementation in terms of number of compute units. The combination of instruction level and algorithmic level optimizations make the proposed approach more suitable for implementation of not only stereo inputs based audio CTC but also multichannel inputs, particularly at very long filter lengths on parallel computing platforms. Keywords: Crosstalk Cancellation, Heterogeneous Parallel Computing, Mixed Filtering, OpenCL, Partitioned Convolution",False,False,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-33/Article6.pdf,10.17485/ijst/2015/v8i33/80399,OpenAlex
Automotive sound field reproduction using deep optimization with spatial domain constraint,"Qian Yufan, Qu, Tianshu, Wu, Xihong",2509.09149.pdf,2025/01/01,Unsorted,"Sound field reproduction with undistorted sound quality and precise spatial localization is desirable for automotive audio systems. However, the complexity of automotive cabin acoustic environment often necessitates a trade-off between sound quality and spatial accuracy. To overcome this limitation, we propose Spatial Power Map Net (SPMnet), a learning-based sound field reproduction method that improves both sound quality and spatial localization in complex environments. We introduce a spatial power map (SPM) constraint, which characterizes the angular energy distribution of the reproduced field using beamforming. This constraint guides energy toward the intended direction to enhance spatial localization, and is integrated into a multi-channel equalization framework to also improve sound quality under reverberant conditions. To address the resulting non-convexity, deep optimization that use neural networks to solve optimization problems is employed for filter design. Both in situ objective and subjective evaluations confirm that our method enhances sound quality and improves spatial localization within the automotive cabin. Furthermore, we analyze the influence of different audio materials and the arrival angles of the virtual sound source in the reproduced sound field, investigating the potential underlying factors affecting these results.",False,False,https://arxiv.org/pdf/2509.09149,10.48550/arxiv.2509.09149,OpenAlex
Near-field source reproduction in large loudspeaker arrays,"Laurent Simon, Stefan Klockgether",000830.pdf,2024/01/01,Unsorted,"Spatial decomposition techniques can help to compensate for some of the limitations of higher order Ambisonics (HOA).Compared to HOA, higher order spatial impulse response rendering (HO-SIRR) has proven to substantially increase the sweet spot of a simulated space.For HO-SIRR-simulated scenes, it has also been shown that the performance of hearing aid beamformers is closer to the performance in real acoustic environments, and that interaural time and level differences are more similar to those recorded with an artificial head (KEMAR) in the original space than with a simulation based on simple HOA.However, with spatial decomposition techniques, it is more difficult to simulate sources at various distances, especially when trying to simulate focused sources within a loudspeaker array.In this presentation, we describe a near-field source rendering technique.HOA and hearing aid recordings were made in a reference room.The method presented in this paper was compared to HOA and HO-SIRR methods in a sound reproduction room, with regard to direct-toreverberant ratio (DRR), coherence, and performance of the hearing aid beamformer.",False,False,https://dael.euracoustics.org/confs/fa2023/data/articles/000830.pdf,10.61782/fa.2023.0830,OpenAlex
Spatial Audio,"Woon‐Seng Gan, Jung‐Woo Choi, Xiaoyan Chen, Alice Zhang, Daria Shi, Candice Zhuo, Sydni Sun, Wen Zhang, Prasanga N. Samarasinghe, Hanchi Chen, Thushara D. Abhayapala, Joo Young Hong, Jianjun He, Bhan Lam, Rishabh Gupta, Jonathan Albert Gößwein, Julian Grosse, Steven van de Par, Jiho Chang, Cheol-Ho Jeong",Spatial_Audio.pdf,2017/01/01,Unsorted,"Three-dimensional (or spatial) audio is a growing research field that plays a key role in realizing immersive communication in many of today's applications for teleconferencing, entertainment, gaming, navigation guidance, and virtual reality (VR)/augmented reality (AR).Technologies in spatial sound capture and binaural recording are becoming an add-on module to our mobile devices to capture the surrounding soundscape, pickup directional and ambient cues, and create an immersive 3D audio media for playback.We are seeing a surge in research activities and applications that rely on digital spatial audio processing and rendering over loudspeakers (stereo, wave field synthesis, ambisonics) and headphones, and seeing new emerging fields of mobile spatial audio, personal assisted listening, and spatial audio for VR/AR.New developments in graphical processing units and multi-core processors are accelerating the pace for real-time spatial audio processing, and new techniques that can lead to high quality and immersive spatial audio reproduction.",False,False,https://mdpi-res.com/bookfiles/book/465/Spatial_Audio.pdf,10.3390/books978-3-03842-586-1,OpenAlex
Examining auditory selective attention. From dichotic towards realistic environments,Josefa Oberem,978-3-8325-5101-8.pdf,2020/01/01,Unsorted,"The aim of the present thesis is to examine the cognitive control mechanisms underlying auditory selective attention by considering the influence of variables that increase the complexity of an auditory scene. Therefore, technical aspects such as dynamic binaural hearing, room acoustics and head movements as well as those that influence the efficiency of cognitive processing are taken into account. Step-by-step the well-established dichotic-listening paradigm is extended into a realistic spatial listening paradigm.\n\nConducted empirical surveys are based on a paradigm examining the intentional switching of auditory selective attention. Performance measure differences between the repetition of the target's spatial position and the related switch describe the loss of efficiency associated with redirecting attention from one target's location to another. To examine whether the irrelevant auditory information is decoded, interference in the processing of task-relevant and task-irrelevant information is created in the paradigm.\n\nUsing the binaural-listening paradigm, the ability to intentionally switch auditory selective attention is tested when applying different methods of spatial reproduction. Essential differences between real sources, an individual and a non-individual binaural synthesis are found. As a step towards multi-talker scenarios in realistic environments participants are tested in differently reverberating environments, resulting in highly affected switch costs. Age-related effects are found when applying the binaural-listening paradigm, indicating difficulties for elderly to suppress processing the distractor's speech.",False,False,https://www.logos-verlag.de/ebooks/OA/978-3-8325-5101-8.pdf,10.30819/5101,OpenAlex
Imagem sonora imersiva com arranjos circulares de transdutores espaçados em segmentos iguais,"José Augusto Mannis, Igor Abdo Aguilar, Angela Cristina Rodrigues",Pending_Header_Check,2025/01/01,Unsorted,"Este artigo apresenta o desenvolvimento de uma pesquisa em gravação e reprodução de áudio imersivo multicanal ocorrida de 2016 a 2020 na Universidade Estadual de Campinas (Brasil), que resultou em arranjos circulares de transdutores (microfones e caixas acústicas) espaçados em segmentos iguais. A mesma tecnologia de captação sonora multicanal imersiva já havia sido formulada em 1991 pelo engenheiro de som Michael Williams. Por caminhos distintos, os dois estudos chegaram a um resultado comum. Reconhecendo o mérito do achado a Williams, detalha-se, neste artigo, o percurso da pesquisa brasileira, com comentários complementares que ilustram a potência e a riqueza dos fenômenos envolvidos na solução do problema. Também são apresentados os desdobramentos do produto inicial, notadamente o desenvolvimento de uma ferramenta de simulação acústica e auralização com aplicações em artes, comunicação, bioacústica, ecologia e monitoramento ambiental. Ao final apresentamos composições musicais em áudio espacial destacando as facilidades expressivas dos novos recursos desenvolvidos.",False,False,https://periodicos.unespar.edu.br/vortex/article/download/9752/6723,10.33871/vortex.2024.12.9752,OpenAlex
Controle da diretividade sonora no espaço tridimensional por um arranjo esférico compacto de alto-falantes,Alexander Mattioli Pasqual,Pending_Header_Check,2010/01/01,Unsorted,"Angular control of the sound radiation can be achieved by using a compact array of independently programmable loudspeakers operating at the same frequency range.The drivers are usually distributed over a sphere-like frame according to a Platonic solid geometry to obtain a highly symmetrical configuration.Prototypes of compact spherical loudspeaker arrays have been recently developed and applied in room acoustics measurements, electroacoustic music performance and synthesis of directivity patterns of acoustical sources such as musical instruments.However, many aspects concerning their control, design, electromechanical behavior and ability to provide a more realistic sound experience than conventional audio systems remain unclear.This work concerns the analysis and synthesis of sound fields by a compact spherical loudspeaker array and aims to contribute to clarifying some aspects mentioned above.A control strategy based on the acoustic radiation modes of the spherical array is proposed, which presents several advantages over the usual strategy based on the spherical harmonics.A theoretical and experimental analysis of the electromechanical behavior of compact loudspeaker arrays is also presented, in which the acoustic coupling between drivers inside the array frame is taken into account.In addition, optimum driver signals corresponding to a given target directivity pattern are derived using two different cost functions, indicating that the realism of the synthesized pattern may be significantly increased by neglecting the phase of the target directivity pattern.Finally, the proposed theoretical models are validated through measurements of electrical impedance, loudspeaker diaphragm velocity and directivity patterns.viii 6.30 Theoretical and experimental directivity pattern at 600Hz corresponding to a rotated lateral quadrupole obtained from a linear combination of the ARM #05 to #09. . . . . . . . . . .",False,False,https://doi.org/10.47749/t/unicamp.2010.771382,10.47749/t/unicamp.2010.771382,OpenAlex
Analysis and Experiment on the Limitations of Static and Dynamic Transaural Reproduction with Two Frontal Loudspeakers,"Lulu Liu, Bosun Xie",aoa.2021.136577.pdf,2021/01/01,Unsorted,"By duplicating the binaural pressures of an actual source, transaural reproduction with two frontal loudspeakers is expected to recreate a virtual source in arbitrary direction. However, experiments indicated that in static transaural reproduction, the perceived virtual source is usually limited to the frontalhorizontal plane. The reasons for this limitation, as guessed, are that, in static reproduction, the dynamic cues for front-back and vertical localisation are incorrect, and the high-frequency spectral cues are unstable with head movement. To validate this hypothesis, the variations of ITD (interaural time difference) caused by head turning in both static and dynamic transaural reproductions are analysed. The results indicate that dynamic reproduction is able to create appropriate low-frequency ITD variations, and the static transaural reproduction is unable to do so. Psychoacoustic experiments are conducted to compare virtual source localisation in static and dynamic reproductions. The results indicate that dynamic reproduction is able to recreate the front, back, and vertical virtual source for low-pass stimuli below 3 kHz, while for full audible bandwidth stimulus, appropriate low-frequency dynamic cue and unstable high-frequency spectral cues in dynamic reproduction result in two splitting virtual sources.",False,False,http://journals.pan.pl/Content/119919/aoa.2021.136577.pdf,10.24425/aoa.2021.136577,OpenAlex
Proposing Factors Towards a Standardised Testing Environment for Binaural and 3D Sound Systems,Sebastian Chandler Crnigoj,2020chandlerphd.pdf,2020/01/01,Unsorted,"Binaural sound systems are a growing industry in spatial audio. For the first time, a method of defining and evaluating the efficiency of such systems is investigated. A testing, and comparison, methodology is proposed based on implicating factors which determine the location of a sound. This proposed methodology provides quantitative and qualitative comparison methods to determine the function and suggested application of any given binaural sound system. A series of tests are conducted and results provide a foundation for proposing and creating a standardised testing environment.",False,False,https://researchonline.ljmu.ac.uk/id/eprint/14035/1/2020chandlerphd.pdf,10.24377/ljmu.t.00014035,OpenAlex
Subband Approach to Bandlimited Crosstalk Cancellation System in Spatial Sound Reproduction,"Mingsian R. Bai, Chih-Chung Lee",71948.pdf,2006/01/01,Unsorted,"Crosstalk cancellation system (CCS) plays a vital role in spatial sound reproduction using multichannel loudspeakers. However, this technique is still not of full-blown use in practical applications due to heavy computation loading. To reduce the computation loading, a bandlimited CCS is presented in this paper on the basis of subband filtering approach. A pseudoquadrature mirror filter (QMF) bank is employed in the implementation of CCS filters which are bandlimited to 6 kHz, where human&#39;s localization is the most sensitive. In addition, a frequency-dependent regularization scheme is adopted in designing the CCS inverse filters. To justify the proposed system, subjective listening experiments were undertaken in an anechoic room. The experiments include two parts: the source localization test and the sound quality test. Analysis of variance (ANOVA) is applied to process the data and assess statistical significance of subjective experiments. The results indicate that the bandlimited CCS performed comparably well as the fullband CCS, whereas the computation loading was reduced by approximately eighty percent.",False,False,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1155/2007/71948,10.1155/2007/71948,OpenAlex
Sound Zone Interaction in Homes: Studying and Designing for Modification of Personal Soundscapes,Stine S. Johansen,PHD_SSJ_E_pdf.pdf,2021/01/01,Unsorted,"This dissertation is based on research conducted from 2018 to 2021 at the Department of Computer Science, Aalborg University. The dissertation consists of six full papers as well as a synopsis that outlines research questions, related work, research design, a summary of the paper contributions, and a discussion that positions the research. In this research, I investigate how to support users' understanding and control of sound zone systems with interaction designs. I do so in seven studies in field and lab settings where I apply approaches to (1) articulate experiences of sound zones in different situations and (2) designing interaction with sound zones. From this investigation, I make three propositions towards a theory of sound zone configurations. The research offers a foundation for asking and investigating more far-reaching questions that pertain to experiences of and designing for sound zone systems.",False,False,https://vbn.aau.dk/ws/files/455013535/PHD_SSJ_E_pdf.pdf,10.54337/aau455013535,OpenAlex
